title,rate,id
真心半解,8.0,33420285
利刃出鞘,8.2,30318116
我仍然相信,6.5,34802738
薄暮,6.7,26984196
列夫·朗道：诺拉与母亲,6.9,34977893
惊天营救,7.1,30314127
双鱼陨石,6.8,35055448
黑帮大佬和我的365日,5.7,34968329
天气之子,7.1,30402296
误杀,7.7,30176393
燃烧女子的肖像,8.6,30257175
黑暗正义联盟：天启星战争,7.3,34777818
给我翅膀,8.6,30410114
黑水,8.5,30331959
绅士们,8.3,30211998
阳光普照,8.4,30292777
少年的你,8.3,30166972
火口的两人,7.0,30405087
列夫·朗道：娜塔莎,6.4,34960201
标准之外,8.3,30310218
爆炸新闻,7.1,30289194
从不，很少，有时，总是,7.6,33411505
理查德·朱维尔的哀歌,8.2,25842038
多哥,8.8,30271841
南方车站的聚会,7.4,27668250
1/2的魔法,7.9,30401849
冰雪奇缘2,7.2,25887288
春潮,7.3,27186348
极速车王,8.6,6538866
朱迪,7.5,27179039
温蒂妮,7.5,34603816
纽约的一个雨天,7.5,27089612
起跑线2,6.6,34967867
饥饿站台,7.8,34805219
人间失格：太宰治和三个女人们,6.1,30364976
乔乔的异想世界,8.4,30170546
再见，妈妈,8.1,34608294
逃离比勒陀利亚,7.6,27046758
坏教育,7.1,30182877
野性的呼唤,7.1,27199324
美好年代,8.1,30371818
狩猎,7.3,30182726
我和我的祖国,7.8,32659890
终结者：黑暗命运,6.9,27109633
平原上的夏洛克,7.9,33400376
卡拉什尼科夫,7.1,34947678
热带雨,7.7,30371819
7号房的礼物(土耳其版),8.2,34875369
玩具总动员4,8.6,6850547
助理,7.0,30402843
我在雨中等你,8.2,3882427
你好世界,7.3,30401194
隐形人,7.3,2364086
异界,6.2,30264504
夺命公寓,6.1,34457952
狩猎的时间,6.1,27621498
猛禽小队和哈莉·奎茵,5.7,30160393
唐顿庄园,8.1,27002635
克劳斯：圣诞节的秘密,8.7,26858510
小羊肖恩2：末日农场,7.8,26628382
威洛比家的孩子们,6.4,27062059
小委托人,8.1,33404726
好莱坞往事,7.3,27087724
决战中途岛,7.7,26786669
南山的部长们,8.1,30241298
爱玛,7.1,30361878
花椒之味,7.1,26935296
教宗的承继,8.6,27132510
红鞋子和七个小矮人,7.6,26820769
看不见的女人,7.8,30301264
抓住救命稻草的野兽们,6.8,30180781
两只老虎,6.0,30196805
叶问4：完结篇,6.9,26885074
贞德,6.8,27663802
净化之时,6.5,30257608
狮子王,7.4,26884354
柳烈的音乐专辑,7.8,30225296
婚姻故事,8.6,27202818
头痛欲裂,7.5,30452121
沉睡魔咒2,6.1,26426056
中国机长,6.7,30295905
喋血战士,5.5,4830483
刺猬索尼克,6.1,25905044
82年生的金智英,8.6,30327842
哪吒之魔童降世,8.5,26794435
阿肯色,6.2,30355043
致允熙,8.2,30488003
真雄起,7.5,34955843
变身特工,7.5,27000084
必是天堂,7.6,26923111
梦幻岛,5.3,2364001
灯塔,7.2,30143336
阿拉丁,7.5,26891256
普通之爱,7.5,30395075
勇者斗恶龙 你的故事,7.8,30461660
只有芸知道,6.4,33436135
爱尔兰人,8.8,6981153
被涂污的鸟,8.1,5327156
匹诺曹,6.8,26886204
厄玛,6.6,30294332
生态箱,6.1,30211753
双子杀手,6.9,3097572
行骗天下JP：浪漫篇,8.1,30241102
航海王：狂热行动,7.7,30329892
1917,8.5,30252495
从宫本到你,7.4,30426519
我失去了身体,8.1,33415943
青春期猪头少年不做怀梦少女的梦,8.7,30329902
攀登者,6.1,30413052
半个喜剧,7.4,30269016
普罗米亚,8.3,27080656
多力特的奇幻冒险,5.6,27000981
星球大战9：天行者崛起,6.3,22265687
与爱同居之永恒的爱,8.4,34951277
星际探索,6.7,24716039
罗小黑战记,8.2,26709258
勇敢者游戏2：再战巅峰,6.0,30128985
正直的候选人,7.1,33441983
窈窕淑男的日记,7.1,34801957
时光机,7.0,33401841
受益人,6.6,30299311
爱宠大机密2,7.0,26848167
原钻,7.2,27045860
恐怖之夜：噩梦电台,6.0,33459814
深海异兽,5.9,26981442
梦工厂,7.7,33456124
囧妈,5.9,30306570
安娜,7.7,27166976
一条狗的使命2,7.0,27074316
紫罗兰永恒花园外传：永远与自动手记人偶,7.5,33424345
小妇人,8.1,26348103
最初的梦想,8.0,34787747
隐秘的生活,7.7,26823502
腰间持枪,6.5,27042748
准备好了没,6.7,27594938
烈火英雄,6.5,30221757
小丑回魂2,6.4,27133569
我控诉,7.4,10745208
绝地战警：疾速追击,5.7,4014397
宠爱,6.0,33417046
蜘蛛侠：英雄远征,7.7,26931786
银行家,7.7,30346880
雪人奇缘,7.3,26929010
诛仙1,4.5,25779217
仲夏夜惊魂,6.6,30288638
极限逃生,7.5,30210691
基督圣体,7.7,30462527
睡梦医生,6.9,25932065
被光抓走的人,6.9,30394535
银河补习班,6.3,30282387
救国同盟,7.2,33475049
白头山,6.4,30200087
吹哨人,5.5,30198715
若能与你共乘海浪之上,7.1,30345226
大赢家,6.8,34670218
大约在冬季,5.2,30362186
只有野兽,7.3,34614704
魔发精灵2,6.7,26985839
正义的慈悲,7.7,26581206
丧尸乐园2,6.8,4185834
要强的人,7.5,34461680
我们永不言弃,4.9,30466885
秘密动物园,6.5,30353076
陈情令之乱魄,5.4,34964056
哥斯拉2：怪兽之王,6.3,25890017
关于无尽,7.4,26884422
列夫·朗道：退变,7.0,34964143
送我上青云,7.1,27180759
擦一擦你那满腹经纶的道貌岸然,5.9,32489562
黑衣人：全球追缉,5.6,19971676
真相,7.1,30140107
奇门遁甲,5.4,33218378
鬼影特攻：以暴制暴,6.3,30163500
伯纳黛特你去了哪,7.5,21354767
布鲁克林秘案,7.0,1469353
为美好的世界献上祝福！红传说,8.6,30258072
速度与激情：特别行动,6.3,27163278
X战警：黑凤凰,5.8,26667010
坏家伙们,6.6,30249076
天衣无缝的她,7.6,27615267
马丁·伊登,8.0,26952994
不存在于记忆中,6.7,30292843
日子,6.4,34868361
衣橱,5.6,30241301
拧紧,4.4,27605034
致所有我曾爱过的男孩2,6.3,30395081
第一滴血5：最后的血,7.5,10546436
小小的愿望,5.1,30235440
霹雳娇娃,5.5,26612258
续命之徒：绝命毒师电影,8.0,30372377
陈情令之生魂,4.5,34786971
长安道,6.1,25747204
真人快打传奇：蝎子的复仇,7.3,34875588
星之彩,6.3,30307197
扫毒2天地对决,6.0,30171425
阿基米德大战,7.5,30267284
疾速备战,7.8,26909790
某处，某人,7.4,30403338
犯罪现场,6.3,26235346
在黑暗中讲述的恐怖故事,6.1,26278747
最普通的恋爱,7.2,30331424
星游记之风暴法米拉2,7.2,27599401
天使陷落,6.1,26900949
坐火车旅行,6.7,30334075
你是凶手,5.7,26762744
高草丛中,6.4,26419635
切尔诺贝利·禁区电影版,7.4,30391241
副本：义体置换,6.8,30373716
莫斯科陷落2,5.8,30242270
愤怒的小鸟2,7.0,26863060
使徒行者2：谍影行动,6.3,30423193
海兽之子,6.6,30274965
最美年华,7.4,30336533
辉夜大小姐想让我告白：天才们的恋爱头脑战,6.5,30465281
搬迁的大名,6.8,30210095
好小子们,7.2,27115166
请寻找我,6.6,30151048
亲爱的新年好,5.7,34460763
邻里美好的一天,6.7,27073179
夕雾花园,7.2,30238379
最好的我们,5.4,26266919
倒忌时,6.0,33381474
森林恶鬼,5.9,30295134
回归之路,6.7,30345227
野兽,6.8,30347029
格蕾特和韩塞尔,5.3,34807058
心理测量者3：第一监视者,7.9,34930803
寄生虫,8.7,27010768
虎尾,5.3,30309632
学区房72小时,7.1,30246061
杀手寓言,7.1,30255079
节奏组,5.1,27088813
无声的抵抗,6.6,27050130
遗愿清单,7.2,30434174
始动,6.5,34809353
蜜蜂与远雷,6.6,27026494
新咒怨(美版),4.5,25851683
热气球飞行家,7.2,27592484
天·火,4.5,30357885
安娜贝尔3：回家,5.9,30207919
阴曹使者,6.4,30181079
舞女大盗,6.3,30294313
我的青春都是你,3.8,26923506
催眠·裁决,5.8,26752547
我的间谍,6.0,30288636
比邻星,6.8,27133567
全职高手之巅峰荣耀,5.6,27145041
神之一手：鬼手篇,6.9,27611496
动物特工局,6.2,30217371
亚当斯一家,6.7,4811807
海热症,5.3,30177286
漫画威龙之大话特务,6.5,34957970
再见，嘴唇,7.0,30256006
在无爱之森呐喊,6.7,30337760
譬如朝露,6.3,34800651
马蒂亚斯与马克西姆,7.3,30134129
所有明亮的地方,6.8,26580108
我的灵魂是爱做的,4.9,30468842
深夜食堂,5.1,26868553
古田军号,6.6,30261964
夜班服务员,5.5,30142414
六欲天,5.9,30257991
家怨,6.5,33399866
找到你了,6.6,27066196
断裂,6.8,30366084
变身,5.9,30433391
那个我最亲爱的陌生人,6.5,27177463
关于哈利的那些事,6.6,34887994
浪潮,6.9,30263576
王子,6.7,30430698
解放·终局营救,4.7,30454698
明日家族,7.8,34894678
我在你床下,6.6,30158829
动物园先生,6.2,30304015
作家的谎言：笔忠诱罪,6.7,30170120
皇后与瘦子,7.1,30279172
谎言大师,6.9,30167633
默片解说员,8.4,30135942
旅途的结束，世界的开始,6.6,30186562
惊魂鬼屋,6.2,27002647
鼠胆英雄,5.4,27073057
一报还一报,7.8,34935834
兰开斯特之王,6.4,30143698
21座桥,6.7,30271717
保持沉默,5.3,26331839
救火奶爸,5.2,30428030
幽灵女孩,5.6,27046734
一首小夜曲,7.3,30165542
星星女孩,6.8,26664834
禁闭男童,6.3,27005769
小Q,6.7,30376977
龙牌之谜,3.6,26367602
猫,4.0,26787585
老千3：独眼杰克,6.4,26665875
魔童,5.6,27608262
爱，婚礼，重演,5.4,33418683
灵偶契约2,4.9,30359790
叛徒,7.2,26892558
肥龙过江,4.7,27131218
特警队,5.2,30317706
巨鳄风暴,5.6,30210700
年轻的阿迈德,7.1,30209085
伊丽莎白不见了,7.4,30305532
铤而走险,6.0,30184555
追龙Ⅱ,5.5,30175306
第15条,7.7,33456261
回到过去拥抱你,4.7,27073835
大叔之爱：爱情或死亡,6.5,30397096
千子2,8.0,5265135
赛马女孩,7.6,27131198
戈梅拉岛,6.4,26752997
侧颜,7.0,30442415
决胜时刻,6.6,30481973
季节与季节之间,7.0,30318240
与我跳舞,7.0,30283209
最后一搏,6.7,1905779
新闻记者,6.6,30395519
辛弃疾1162,6.3,34906611
无尽的战壕,7.2,34670959
名字之歌,6.7,5151788
小小乔,6.3,26959115
不朽的西罗,6.9,34848600
夏福特,6.8,27116384
大火将至,6.9,33406890
鲨海逃生,5.1,27186353
跳舞吧！大象,5.0,30259043
加油，李先生,7.3,30168156
镇魔司：苍龙觉醒,6.0,33977979
金翅雀,6.5,25941405
8号警报,5.7,27066172
蝙蝠侠：缄默,6.3,30286712
明信片杀戮,6.2,26726815
斯宾塞的机密任务,5.8,30258631
小丑,8.7,27119724
超人：红色之子,4.8,27668334
去年圣诞,6.4,30259221
超级30,7.8,30306588
是非之地,6.7,34839475
奥菲斯恋歌,5.9,33387158
我亲爱的表哥,7.3,34333817
假面骑士时王：盖茨王权,6.7,34806231
凤梧洞战斗,6.3,26334820
黑钱,6.7,34851242
消失吧，群青,6.7,33377652
我的喜马拉雅,7.9,32491917
洛瑞太太和她的儿子,7.4,27664635
茜宝,6.0,27594919
假面骑士令和初代,7.3,34453221
午夜0时的吻,6.1,30488584
最长一枪,6.1,27002371
吾王长存,6.3,27623043
西比勒,6.6,30365915
追凶十九年,5.6,26974334
杀手餐厅,5.5,30222762
恶之华,5.2,30371775
一生有你2019,4.1,26263417
美味侦探,4.7,33458819
神奇女侠：血脉,5.9,30286098
亲密旅行,5.7,30337935
妓房少爷,6.4,30394835
少年泰坦出击大战少年泰坦,8.4,30481833
复仇者,6.7,30299234
鲁邦三世：峰不二子的谎言,7.7,30483639
鲁贝之灯,6.4,30209086
爱哭鬼上学记,6.9,34781114
坚持住,6.9,34815429
灼人秘密,5.5,30334970
谋杀疑案,6.1,15077774
乐园,5.6,30305551
剧场版 假面骑士时王 Over Quartzer,6.0,33457650
最终幻想14：光之老爸 剧场版,7.3,33377523
秦明·生死语者,4.2,27090753
0.0兆赫,5.1,30272986
红海潜水俱乐部,6.7,27006407
蓝与黑,6.5,30400499
十七岁,7.9,33399850
小姐与流浪汉,6.8,30175647
女孩我最高,6.4,33397766
鬼娃回魂,5.8,30264607
失踪女孩,6.2,26969026
今天也是招人嫌的便当,7.1,30174424
失踪,4.6,30279883
东京食尸鬼 真人版2,5.1,30331965
考菲和卡利姆,5.7,33218261
父亲的遗愿,4.7,27156540
热情花招,6.3,30334584
乐高DC蝙蝠侠：家族事务,7.2,33447595
危机：龙潭之战,6.5,1972738
我的A级秘密,5.1,30283389
精灵宝可梦：超梦的逆袭·进化,6.9,30272753
哈丽特,6.0,26786097
法医宋慈,5.8,34964410
江湖无难事,6.7,30204446
我叫多麦特,7.0,30243520
第九分局,5.4,30346023
告密者,6.4,26320776
我的梦中情人,6.7,34821871
完美男人,6.6,30320204
局内人2,5.8,30368414
逗爱熊仁镇,4.8,27063867
杰克茜,6.5,30432964
恐怖大妈,5.2,30137082
凯利帮的真实历史,6.3,27192028
幸运日,5.7,27150264
闭锁病房,7.1,30443610
量子物理学,5.9,34797534
弗兰琪,6.2,30150661
萨霍,5.9,30230592
秋寒江南,6.0,30468854
最初的晚餐,6.6,34447006
宝莱坞双雄之战,6.3,34607890
狂犬病,5.3,30221628
春江水暖,7.5,30419744
金蝉脱壳3：恶魔车站,3.8,27018354
看不见的目击者,6.7,33423926
长沙里：被遗忘的英雄们,5.8,30309627
月影杀痕,6.1,30151474
水性杨花,5.9,30410654
血亲,6.1,30479817
失宠,6.5,34937473
为国而歌,5.1,30384234
爱探险的朵拉：消失的黄金城,5.9,27179713
红星照耀中国,5.6,30468769
冷酷游戏,6.8,30143761
疯狂老爹,5.6,35017520
功夫宗师霍元甲,5.8,34997333
运动员：我沉溺于他的日子,5.0,34441095
猪猪侠·不可思议的世界,5.1,30324775
一路不消停,4.7,35014912
伏妖白鱼镇2,5.9,30380049
天空中的露西,5.6,25826020
优步危机,6.2,27603782
北京女子图鉴之整容大师,5.2,34922297
水怪,4.4,33391824
超龄少女,8.3,34445786
冰峰暴,4.6,27595272
碟仙,5.2,27073079
笨蛋太郎,6.4,30345300
维塔利娜·瓦雷拉,7.4,27107766
姐妹老板,5.0,30230604
通往春天的列车,6.2,27624665
挑灯斩蛇录,4.9,30473791
少女与战车：最终章 第2话,8.2,27625671
天文：问天,6.5,30243342
我的天使,6.5,30141343
惊弓之鸟,5.8,30177221
江南,5.5,33479277
每况愈下,5.7,26354577
早安公主,4.7,30337116
狗不穿裤子,6.1,30352696
212号房间,7.4,30458008
大天蓬,5.6,33412928
快进者,4.7,34926591
二之国,5.4,30456649
天真派：红楼梦之桃花诗社,5.8,33434848
北京女子图鉴之助理女王,5.7,34430056
犬鸣村,6.3,30408298
卡丁赛车王,6.3,34978713
慕伶，一鸣，伟明,7.4,26752564
舞出我人生之舞所不能,5.3,26921076
毕业的我们,4.9,34793524
贞子,4.1,30158830
地狱厨房,5.5,26977362
来者何人,5.6,30234426
看不见的小孩,4.4,30290872
冬季浪漫故事,5.7,6538867
银河英雄传说 Die Neue These 星乱 第1章,9.0,27149654
与魔鬼同行,5.8,30170213
快递员,5.3,30366385
极右青年,6.4,34851378
圣诞恋爱季,6.6,34851342
超人死而复生,6.8,34845738
野王,5.6,30424207
大地震,5.9,34800551
要做两次吗？,5.6,30345198
六连煞,4.8,27169438
我的拳王男友,4.6,27132180
猛鬼故事,5.5,33413733
安娜,6.5,27040158
我们的家园,6.9,34661071
少年与海,7.3,30414283
国之语音,6.1,26946509
你失去的部分,6.7,26385739
只有我没有猫,6.8,34781677
小小恋歌,6.5,30230132
瞌睡的磐音,6.7,30174426
捉仙记,5.2,34444225
狙击手,4.5,30413195
龙之心：致命复仇,4.4,34960187
多米诺骨牌,5.2,27036731
圣诞前夕的骑士,5.4,33159421
巴拉,6.8,34892447
朽木,6.4,27164161
逃离生存营,5.5,34996609
白烂贱客2,5.7,27043939
金陵神捕,5.9,34834828
锅盖头4：回归法制,5.5,34785746
零号犯人,4.8,30469287
平行世界·爱情故事,5.3,30166706
冠军的心,4.5,26587411
